"gene"	"pve50"	"pge50"	"tissue_type"	"pve_CI"	"pge_CI"
"NRP1"	0.2264683	0.9134946	"DGN-WB_exp"	"0.1753302-0.2862276"	"0.74612664-0.9954994"
"TNKS2"	0.089995035	0.8706108	"DGN-WB_exp"	"0.050715088-0.14802743"	"0.4623961375-0.99458547"
"FAM35A"	0.14575875	0.9138598	"DGN-WB_exp"	"0.10240509-0.1957927"	"0.7385753075-0.993937565"
"AGAP4"	0.4219815	0.78542515	"DGN-WB_exp"	"0.3191622-0.5718582"	"0.4678161825-0.902807845"
"AGAP5"	0.028110075	0.50801125	"DGN-WB_exp"	"0.0085185064-0.0802228969999999"	"0-0.984172205"
"AGAP6"	0.21679745	0.9678052	"DGN-WB_exp"	"0.16738664-0.277188185"	"0.87089332-0.9982889"
"AGAP7"	0.5374376	0.993082	"DGN-WB_exp"	"0.4984829-0.5762251"	"0.9717942-0.9995654"
"AGAP8"	0.4975432	0.9930742	"DGN-WB_exp"	"0.4570612-0.5412503"	"0.966098085-0.9998824"
"CHST15"	0.071211185	0.7299173	"DGN-WB_exp"	"0.0348638385-0.11904412"	"0.379959415-0.981753095"
"MORN4"	0.3539351	0.9715013	"DGN-WB_exp"	"0.2967649875-0.408986575"	"0.8937181025-0.9984782025"
"DOCK1"	0.022572695	0.35961985	"DGN-WB_exp"	"0.001426400825-0.0666359919999999"	"0-0.9574315975"
"EIF5AL1"	0.008074947	0.3559893	"DGN-WB_exp"	"0.000286005595-0.034443509"	"0-0.9599898625"
"RPP38"	0.05949966	0.6564907	"DGN-WB_exp"	"0.0161062225-0.109490205"	"0-0.9657338275"
"RPP30"	0.018339165	0.28117415	"DGN-WB_exp"	"0.001210305-0.0550442234999999"	"0-0.9470638875"
"PPIF"	0.081224745	0.6214591	"DGN-WB_exp"	"0.04211666-0.1303539825"	"0.19823726-0.952433155"
"RBM20"	0.106829	0.6710788	"DGN-WB_exp"	"0.05310175325-0.18924523"	"0.2452736625-0.977885525"
"ARL3"	0.095395985	0.82129735	"DGN-WB_exp"	"0.0512008575-0.1679174"	"0.1265492075-0.99339225"
"ITGB1"	0.024465035	0.2023158	"DGN-WB_exp"	"0.003349317925-0.06171998"	"0-0.949898295"
"HERC4"	0.02558195	0.6006832	"DGN-WB_exp"	"0.00599257985-0.0632934695"	"0-0.9866788"
"FANK1"	0.1959407	0.88422355	"DGN-WB_exp"	"0.1466039-0.2509189575"	"0.6278773-0.9948937"
"HK1"	0.1136708	0.8420752	"DGN-WB_exp"	"0.069433285-0.1662970275"	"0.41176201-0.9923431275"
"SAMD8"	0.0034910655	0.4559722	"DGN-WB_exp"	"0.000160713865-0.020864715"	"0.02085456-0.9619662"
"PTPLA"	0.1174493	0.7235368	"DGN-WB_exp"	"0.067556586-0.1859102275"	"0.3366583125-0.976032855"
"ZNF33B"	0.31143295	0.8563292	"DGN-WB_exp"	"0.2345971-0.402558045"	"0.4676317-0.985154725"
"ZNF33A"	0.0096110625	0.43927	"DGN-WB_exp"	"0.000654632505-0.0447744972499999"	"0-0.975348505"
"TTC18"	0.1129151	0.9497026	"DGN-WB_exp"	"0.06481835-0.1769953925"	"0.2030616425-0.9982448"
"EGR2"	0.02039238	0.4244677	"DGN-WB_exp"	"0.0032470838-0.051482052"	"0-0.974364435"
"SFRP5"	0.06508872	0.9082565	"DGN-WB_exp"	"0.0360804035-0.11028233"	"0.656637535-0.9961861"
"WAPAL"	0.03219894	0.35204125	"DGN-WB_exp"	"0.008286495725-0.07076834"	"0-0.9692730425"
"KIAA1217"	0.01728301	0.4029813	"DGN-WB_exp"	"0.0009512434625-0.05511867675"	"0-0.9652472875"
"SNCG"	0.08937663	0.88635325	"DGN-WB_exp"	"0.0524552445-0.1365455125"	"0.4419222575-0.9943796"
"NFKB2"	0.009957072	0.4926143	"DGN-WB_exp"	"0.000664845-0.03664208"	"0.02353902275-0.9745291275"
